Instancia,n,capacidad-camion,k-opt,costo-opt,Algoritmo,costo-sol,k-sol,tiempo
A-n34-k5,34,100,5,778,SWEEP,872.491,5,89
A-n37-k6,37,100,6,949,SWEEP,1209.26,7,89
A-n39-k6,39,100,6,831,SWEEP,1077.09,6,91
A-n44-k6,44,100,6,937,SWEEP,1138.88,6,91
A-n45-k7,45,100,7,1146,SWEEP,1382.29,7,109
A-n48-k7,48,100,7,1073,SWEEP,1291.05,7,139
A-n53-k7,53,100,7,1010,SWEEP,1219.71,7,144
A-n55-k9,55,100,9,1073,SWEEP,1295.53,10,183
A-n60-k9,60,100,9,1354,SWEEP,1671.09,10,151
A-n65-k9,65,100,9,1174,SWEEP,1349.15,10,153
A-n69-k9,69,100,9,1159,SWEEP,1367.23,9,149
A-n80-k10,80,100,10,1763,SWEEP,2439.75,11,186
